;Date;Season;Cup;Round;Home;Away;gh;ga;HomeCountry;AwayCountry;gh1h;ga1h;IsWalkover
0;1955-06-04;1955/1958;ICF;Group stage;Basel XI;London XI;0;5;Switzerland;England;0;3;0
1;1955-09-04;1955/1956;EC;1/8 Final;Sporting CP;Partizan Beograd;3;3;Portugal;Serbia;1;1;0
2;1955-09-07;1955/1956;EC;1/8 Final;MTK Budapest;Anderlecht;6;3;Hungary;Belgium;3;2;0
3;1955-09-08;1955/1956;EC;1/8 Final;Servette;Real Madrid;0;2;Switzerland;Spain;0;0;0
4;1955-09-14;1955/1956;EC;1/8 Final;Rot-Weiß Erfurt;Hibernian;0;4;East Germany;Scotland;0;1;0
5;1955-09-20;1955/1956;EC;1/8 Final;Djurgårdens IF;Gwardia Warszawa;0;0;Sweden;Poland;0;0;0
6;1955-09-21;1955/1956;EC;1/8 Final;Rapid Wien;PSV Eindhoven;6;1;Austria;Netherlands;1;1;0
7;1955-09-21;1955/1956;EC;1/8 Final;Aarhus GF;Stade Reims;0;2;Denmark;France;0;1;0
8;1955-10-12;1955/1956;EC;1/8 Final;Hibernian;Rot-Weiß Erfurt;1;1;Scotland;East Germany;1;0;0
9;1955-10-12;1955/1956;EC;1/8 Final;Real Madrid;Servette;5;0;Spain;Switzerland;2;0;0
10;1955-10-12;1955/1956;EC;1/8 Final;Gwardia Warszawa;Djurgårdens IF;1;4;Poland;Sweden;1;4;0
11;1955-10-12;1955/1956;EC;1/8 Final;Partizan Beograd;Sporting CP;5;2;Serbia;Portugal;2;0;0
12;1955-10-19;1955/1956;EC;1/8 Final;Anderlecht;MTK Budapest;1;4;Belgium;Hungary;1;1;0
13;1955-10-26;1955/1958;ICF;Group stage;London XI;Frankfurt XI;3;2;England;Germany;0;2;0
14;1955-10-26;1955/1956;EC;1/8 Final;Stade Reims;Aarhus GF;2;2;France;Denmark;0;0;0
15;1955-11-01;1955/1956;EC;1/8 Final;PSV Eindhoven;Rapid Wien;1;0;Netherlands;Austria;1;0;0
16;1955-11-01;1955/1956;EC;1/8 Final;Milan;1. FC Saarbrücken;3;4;Italy;Germany;3;2;0
17;1955-11-23;1955/1956;EC;1/4 Final;Hibernian;Djurgårdens IF;3;1;Scotland;Sweden;1;1;0
18;1955-11-23;1955/1956;EC;1/8 Final;1. FC Saarbrücken;Milan;1;4;Germany;Italy;1;1;0
19;1955-11-28;1955/1956;EC;1/4 Final;Djurgårdens IF;Hibernian;0;1;Sweden;Scotland;0;0;0
20;1955-12-14;1955/1956;EC;1/4 Final;Stade Reims;MTK Budapest;4;2;France;Hungary;3;1;0
21;1955-12-25;1955/1956;EC;1/4 Final;Real Madrid;Partizan Beograd;4;0;Spain;Serbia;3;0;0
22;1955-12-25;1955/1958;ICF;Group stage;FC Barcelona;Staevnet (København) XI;6;2;Spain;Denmark;4;0;0
23;1955-12-28;1955/1956;EC;1/4 Final;MTK Budapest;Stade Reims;4;4;Hungary;France;1;3;0
24;1956-01-18;1955/1956;EC;1/4 Final;Rapid Wien;Milan;1;1;Austria;Italy;1;0;0
